split,method,n_users,mean_recall@1,mean_ndcg@1,mean_hit_rate@1,mean_recall@5,mean_ndcg@5,mean_hit_rate@5,mean_recall@10,mean_ndcg@10,mean_hit_rate@10
file_order,ALS,6040,0.002463345142816334,0.02599337748344371,0.02599337748344371,0.010198729706938369,0.024639219619990802,0.10579470198675496,0.01932624057427747,0.027360487013430357,0.1945364238410596
file_order,BPRMF,6040,0.0014660481821054195,0.01771523178807947,0.01771523178807947,0.006872480600902012,0.016535963214517717,0.0695364238410596,0.013140546038423863,0.01812130251438933,0.12682119205298012
file_order,ItemKNN,6040,0.0019034822308096045,0.024834437086092714,0.024834437086092714,0.007255491130879295,0.023776587843161376,0.08774834437086093,0.012683460870126825,0.02373021033506552,0.1390728476821192
file_order,ItemKNNStd,6040,0.002315381034014093,0.03923841059602649,0.03923841059602649,0.010448242512996007,0.0351466509404582,0.12235099337748344,0.01740764506184004,0.033581107218169745,0.18311258278145695
file_order,LightGCN,6040,0.0009011264820749395,0.023178807947019868,0.023178807947019868,0.003480232017685218,0.026188385440030142,0.0912251655629139,0.00946747175767171,0.029936417586473446,0.18096026490066225
file_order,MostPop,6040,0.0008519888656428959,0.02119205298013245,0.02119205298013245,0.0030810382113106564,0.022257834202829414,0.07748344370860927,0.00805302742941843,0.025079295869606992,0.1519867549668874
file_order,Random,6040,0.00025157181755941396,0.01009933774834437,0.01009933774834437,0.0013302776856116679,0.010072260067112001,0.048013245033112585,0.0025485821496525713,0.009739544888544678,0.0859271523178808
random,ALS,6040,0.024765314949900592,0.4857615894039735,0.4857615894039735,0.09567605304144215,0.4214173692708389,0.8321192052980132,0.15635338804256516,0.3900155805739517,0.9142384105960265
random,BPRMF,6040,0.017013434553306478,0.3251655629139073,0.3251655629139073,0.0634367271400077,0.2731876185728457,0.6905629139072847,0.10491290291691367,0.2532163328060004,0.8263245033112583
random,ItemKNN,6040,0.022087121678729334,0.44304635761589406,0.44304635761589406,0.08033994781051013,0.37336250693762874,0.7721854304635761,0.13025474425057507,0.3432643061915926,0.8678807947019868
random,ItemKNNStd,6040,0.023429946200392012,0.47516556291390727,0.47516556291390727,0.08857012727578406,0.40827146186943464,0.8091059602649007,0.14498858213752155,0.37601895391297974,0.8980132450331125
random,LightGCN,6040,0.010217978051278514,0.24470198675496688,0.24470198675496688,0.039508264544128674,0.2184313275524025,0.545364238410596,0.06766467330936701,0.20231369507977343,0.6817880794701987
random,MostPop,6040,0.010294531034434215,0.24867549668874173,0.24867549668874173,0.03940006382553992,0.22076166187491392,0.5458609271523179,0.06676908360815363,0.20376368980430198,0.6730132450331126
random,Random,6040,0.00029623856615784586,0.01009933774834437,0.01009933774834437,0.0012294436145412297,0.009406217269142585,0.04403973509933775,0.0025161637853013184,0.009465809865269225,0.08410596026490066
